n00004475	有机体,存在
n07879659	玉米粉蒸肉
n07879821	塔马利馅饼
n07879953	天麸罗
n07880080	照烧
n07880213	陶罐
n07880325	威尔士干酪,威尔士兔子,干酪
n07880458	炸肉排,炸猪排
n07880751	墨西哥玉米薄饼卷
n07880880	墨西哥鸡肉
n07880968	玉米煎饼
n07881117	牛肉卷饼
n07881205	玉米饼
n07881404	炸玉米粉圆饼
n07881525	豆炸玉米粉圆饼
n07881625	豆泥,油煎菜豆泥
n07881800	饮料,喝,饮用,饮用
n07882420	希望洗
n07882497	炮制,混合物,混合
n07882886	混合,预混料
n07883031	填满
n07883156	梅子酱
n07883251	一剂
n07883384	万能药
n07883510	长生不老药
n07883661	春药,春药,春药,媚药,春药
n07884567	酒精,含酒精的饮料,含酒精的饮料,醉人的,酒类
n07885705	证明精神
n07886057	家酿,自制
n07886176	烈酒,私酒
n07886317	卡瓦,卡瓦
n07886463	开胃酒
n07886572	BREW,酿造
n07886849	啤酒
n07887099	生啤酒,生啤酒
n07887192	肥皂水
n07887304	慕尼黑啤酒,慕尼黑
n07887461	博克,博克啤酒
n07887634	啤酒,啤酒
n07887967	淡啤酒
n07888058	啤酒节,啤酒节
n07888229	比尔森啤酒,比尔森
n07888378	酒吧
n07888465	白啤酒,白啤酒,小麦啤酒
n07888816	weizenbock
n07888909	麦芽
n07889193	麦汁
n07889274	麦芽,麦芽白酒类
n07889510	ALE
n07889814	苦的
n07889990	伯顿
n07890068	淡啤酒
n07890226	搬运工人,波特啤酒
n07890352	粗壮的
n07890540	爱尔兰啤酒
n07890617	克瓦斯
n07890750	米德
n07890890	蜂蜜酒
n07890970	蜂蜜酒
n07891095	蜜酒
n07891189	附近的啤酒
n07891309	姜汁啤酒
n07891433	目的,崎,大米啤酒
n07891726	葡萄酒,酒
n07892418	酿造的
n07892512	红葡萄酒
n07892813	白葡萄酒
n07893253	红葡萄酒,粉红葡萄酒,玫瑰,玫瑰葡萄酒
n07893425	坛酒,圣酒
n07893528	起泡酒
n07893642	香槟,泡状
n07893792	寒鸭
n07893891	暗红色的,勃艮第葡萄酒
n07894102	博若莱
n07894298	梅
n07894451	加那利酒
n07894551	夏布利酒,勃艮第白葡萄酒
n07894703	蒙哈榭
n07894799	夏敦埃酒,夏敦埃酒
n07894965	黑比诺
n07895100	白品乐
n07895237	波尔多,波尔多葡萄酒
n07895435	红葡萄酒,波尔多红
n07895595	基安蒂
n07895710	解百纳,赤霞珠
n07895839	梅洛
n07895962	长相思
n07896060	加利福尼亚的葡萄酒
n07896165	普罗旺斯海岸
n07896287	甜酒
n07896422	杜本内
n07896560	壶酒
n07896661	梅肯,马可内
n07896765	摩泽尔河
n07896893	麝香干白葡萄酒
n07896994	酒
n07897116	松香酒
n07897200	莱茵的葡萄酒,莱茵,典当
n07897438	雷司令
n07897600	莱茵白葡萄酒
n07897750	罗纳葡萄酒
n07897865	里奥哈
n07897975	解雇
n07898117	圣爱美浓
n07898247	Soave
n07898333	仙粉黛
n07898443	白葡萄酒,索甸
n07898617	稻草酒
n07898745	佐餐酒
n07898895	蛤蚧
n07899003	普通葡萄酒
n07899108	苦艾酒
n07899292	甜味美思,意大利苦艾酒
n07899434	干味美思,法国苦艾酒
n07899533	白诗南
n07899660	维蒂奇诺
n07899769	誓约
n07899899	伊甘酒庄
n07899976	通用,一般的葡萄酒
n07900225	品种,品种葡萄酒
n07900406	强化酒
n07900616	马德拉
n07900734	马姆齐甜酒
n07900825	港口,葡萄酒
n07900958	雪莉
n07901355	马沙拉
n07901457	马斯喀特,麝香葡萄酒,麝香葡萄酒,葡萄酒
n07901587	酒,精神,酒,难喝的,硬白酒类,施洗约翰,浓酒
n07902121	中性酒,乙醇
n07902336	烈性酒,烈酒
n07902443	白兰地
n07902520	月光,盗版,玉米白酒类
n07902698	浴缸杜松子酒
n07902799	白兰地,白兰地
n07902937	烧酒,阿拉克
n07903101	苦味
n07903208	白兰地
n07903543	苹果白兰地
n07903643	苹果白兰地
n07903731	亚文邑
n07903841	干邑
n07903962	格拉巴酒
n07904072	樱桃
n07904293	这
n07904395	杜松子酒
n07904637	金酒
n07904760	日内瓦,荷兰杜松子酒,荷兰
n07904865	熟料
n07904934	茴香酒
n07905038	朗姆酒
n07905296	德梅拉拉,红糖甜酒
n07905386	牙买加糖酒会
n07905474	杜松子酒,烈酒
n07905618	龙舌兰酒
n07905770	龙舌兰
n07905979	龙舌兰酒
n07906111	伏特加
n07906284	威士忌,威士忌酒
n07906572	混合威士忌,调和威士忌
n07906718	波旁威士忌
n07906877	玉米威士忌,玉米威士忌,玉米
n07907037	烈酒
n07907161	爱尔兰,爱尔兰威士忌,爱尔兰威士忌
n07907342	私酿的威士忌
n07907429	黑麦,黑麦威士忌,黑麦威士忌
n07907548	刻痕,苏格兰威士忌,苏格兰威士忌,麦芽威士忌,麦芽威士忌,苏格兰麦芽威士忌,苏格兰麦芽威士忌
n07907831	酸性糖化醪,酸麦芽威士忌
n07907943	利口酒,热诚的
n07908411	苦艾酒,苦艾酒
n07908567	芳津杏仁
n07908647	茴香酒,茴香酒de波尔多
n07908812	本笃会
n07908923	黄绿色
n07909129	咖啡利口酒
n07909231	可可甜酒
n07909362	薄荷酒
n07909504	creme de障碍物
n07909593	苏格兰威士忌
n07909714	加里亚诺
n07909811	橙利口酒
n07909954	库拉索岛,柑香酒
n07910048	橙皮甜酒
n07910152	金万利
n07910245	莳萝
n07910379	樱桃力娇,樱桃力娇酒
n07910538	茴香酒
n07910656	潘诺
n07910799	浓咖啡
n07910970	甘露咖啡力娇酒
n07911061	果酒,果酒
n07911249	森布卡茴香酒
n07911371	配制饮料
n07911677	鸡尾酒
n07912093	佩德罗
n07912211	高球
n07913180	搅拌机
n07913300	主教
n07913393	血玛丽
n07913537	圣母玛丽,血腥的耻辱
n07913644	一种鸡尾酒
n07913774	鞋匠
n07913882	柯林斯,汤姆考林斯
n07914006	冷却器
n07914128	复习
n07914271	冰沙
n07914413	得其利,朗姆鸡尾酒
n07914586	草莓达其利
n07914686	纳达得其利
n07914777	汽酒
n07914887	轻弹
n07914995	手钻
n07915094	金汤力
n07915213	蚱蜢
n07915366	伏特加橙汁
n07915491	去黑头,薄荷酒
n07915618	曼哈顿
n07915800	罗布罗伊
n07915918	玛格丽塔
n07916041	马蒂尼
n07916183	杜松子酒和它
n07916319	伏特加马提尼
n07916437	老式的
n07916582	红粉佳人
n07917133	Sazerac
n07917272	螺丝刀
n07917392	边车
n07917507	威士忌苏打
n07917618	吊索
n07917791	白兰地司令
n07917874	金司令
n07917951	朗姆酒吊索
n07918028	酸的
n07918193	威士忌酸,威士忌酸
n07918309	毒刺
n07918706	调酒
n07918879	热棕榈酒,棕榈酒
n07919165	僵尸,僵尸
n07919310	菲士
n07919441	爱尔咖啡
n07919572	法式咖啡
n07919665	黑咖啡,黑咖啡
n07919787	低因咖啡,脱咖啡因咖啡
n07919894	滴漏咖啡
n07920052	意大利浓咖啡
n07920222	拿铁咖啡,拿铁咖啡
n07920349	卡布奇诺,卡布奇诺咖啡,卡布奇诺咖啡
n07920540	冰咖啡,冰咖啡
n07920663	速溶咖啡
n07920872	摩卡,摩卡咖啡
n07920989	摩卡
n07921090	木薯浓汁
n07921239	土耳其咖啡
n07921360	巧克力牛奶
n07921455	苹果汁,苹果酒
n07921615	苹果酒
n07921834	苹果烈酒
n07921948	甜苹果酒
n07922041	温热苹果酒
n07922147	佩里
n07922512	劣质的酒
n07922607	塞
n07922764	可可,巧克力,热巧克力,喝巧克力
n07922955	克里奥罗
n07923748	果汁
n07924033	果汁,果实粉碎
n07924276	花蜜
n07924366	苹果汁
n07924443	红莓汁
n07924560	葡萄汁
n07924655	必须
n07924747	葡萄柚汁
n07924834	橙汁
n07924955	冷冻橙汁,浓缩橙汁
n07925116	菠萝汁
n07925229	青柠汁
n07925327	青柠汁
n07925423	纯木瓜汁
n07925500	番茄汁
n07925608	胡萝卜汁
n07925708	V-8汁
n07925808	酸马奶,马奶酒
n07925966	果汁饮料,艾德
n07926250	柠檬水
n07926346	莱姆汁
n07926442	桔子汁
n07926540	麦乳精
n07926785	伙伴
n07926920	热红酒
n07927070	尼格斯
n07927197	软饮料
n07927512	流行音乐,苏打,汽水,苏打水,补药
n07927716	桦木啤酒
n07927836	柠檬苦
n07927931	可乐,涂料
n07928163	冰淇淋苏打
n07928264	奶油鸡蛋
n07928367	姜汁汽水,姜的流行
n07928488	橘子汽水
n07928578	磷酸盐
n07928696	可口可乐,焦炭
n07928790	百事可乐,百事可乐
n07928887	根啤酒
n07928998	菝葜
n07929172	补药,汤利水,奎宁水
n07929351	咖啡豆,咖啡浆果,咖啡
n07929519	咖啡,java
n07929940	皇家咖啡,皇室咖啡
n07930062	果汁宾汁
n07930205	牛奶宾治
n07930315	含羞草,巴克的嘶嘶声
n07930433	椰林飘香
n07930554	用拳猛击
n07930864	杯子
n07931001	香槟杯
n07931096	红葡萄酒杯
n07931280	痛饮
n07931452	庄园主宾治酒
n07931612	白色的俄罗斯
n07931733	鱼家冲
n07931870	五月酒
n07932039	蛋奶酒
n07932323	木薯酒
n07932454	云杉啤酒
n07932614	里基
n07932762	金酒
n07932841	茶,茶叶
n07933154	茶袋
n07933274	茶
n07933530	像茶的饮料
n07933652	红茶牛奶
n07933799	一杯茶,铜
n07933891	草本茶,草药茶,中草药
n07934032	汤药
n07934152	甘菊茶
n07934282	冰红茶,冰茶
n07934373	太阳茶
n07934530	红茶
n07934678	工夫茶,刚果,产品又称为工夫茶,英国早餐茶
n07934800	大吉岭
n07934908	橙黄白毫,白毫
n07935043	小种红茶,soochong
n07935152	绿茶
n07935288	熙春茶
n07935379	乌龙
n07935504	水
n07935737	瓶装水
n07935878	支水
n07936015	春天的水
n07936093	糖水
n07936263	饮用水
n07936459	冰水
n07936548	苏打水,碳酸水,苏打水,矿泉水,苏打水
n07936745	矿泉水
n07936979	矿泉水
n07937069	维希矿泉水
n07937344	易逝的,能够被损坏
n07937461	蒸粗麦粉
n07937621	模子,干酪蛋糕
n07938007	复合维生素的,多种维生素丸
n07938149	维生素丸
n07938313	灵魂的食物
n07938594	模具,模具
n07942152	人
n07951464	收集,聚集,积累,组合
n07954211	书,规则书
n07977870	图书馆
n08079613	棒球俱乐部,球俱乐部,俱乐部,九
n08182379	人群
n08238463	班,形式,等级,课程
n08242223	核心,核,核心组
n08249459	音乐会乐队,军乐队
n08253141	跳舞
n08256735	婚礼,婚礼
n08376250	链,级联
n08385989	早餐的能量
n08492354	鹰巢,飘渺,鹰巢城,巢
n08492461	集市
n08494231	游乐园,游乐场,游乐场
n08495908	远日点
n08496334	围裙
n08500819	行星际空间
n08500989	星际空间
n08501887	星系际空间
n08505018	灌木
n08506347	半沙漠
n08511017	梁端
n08517010	桥头堡
n08517676	公交站
n08518171	营地,露营地,露营地点,露营地,露营地,营地,露营区
n08519299	蓄滞洪区
n08521623	墓地,墓地,墓地,墓地,墓地,纪念公园,墓地
n08523340	发际中点,crinion
n08524735	城市,大都市,城市中心
n08539072	商业区,市中心
n08539276	郊区
n08540532	自治市镇
n08547468	奶牛牧场
n08547544	嵴
n08551296	教区,代牧区
n08554440	郊区,郊区,郊区
n08555333	股票经纪人带
n08555710	狭小空间,爬行空间
n08558770	酋长国,酋长国
n08558963	住宅,住所
n08559155	住所,法定住所
n08560295	农场
n08569482	农田,农业区
n08571275	中场
n08571642	防火,防火
n08571898	跳蚤市场
n08573674	前线,前面,前线
n08573842	垃圾堆,垃圾堆,垃圾堆,废物堆,垃圾堆,垃圾堆,垃圾堆,垃圾堆
n08578517	底栖生物,底栖生物分,底栖区
n08579266	金矿
n08579352	粮田,粮食领域
n08580944	下半旗,一半的工作人员
n08583292	底边
n08583455	营巢地
n08583554	臀围
n08583682	臀围
n08584914	墙上的洞
n08586978	垃圾场
n08589670	等倾线,等倾
n08596076	滨海,海湾,滨海区,金沙
n08597579	磁极
n08598301	草原
n08598568	麦加
n08599174	测者子午圈
n08599292	本初子午线
n08611339	脐
n08611421	不停车带
n08613733	在户外,出了门,开放式空气,打开
n08614632	游乐场
n08616050	牧场,牧场,放牧的土地,Lea,莱伊
n08618831	近日点
n08619112	近月点,近月点
n08623676	感染部位
n08628141	城堡,卡斯巴
n08633683	滨水
n08640531	求助,度假酒店,假日度假酒店
n08640739	度假区,操场,度假地
n08640962	粗糙的
n08643267	道场
n08644045	停泊处,滋生
n08645104	灌木
n08645212	原野
n08645318	世界
n08647264	校园
n08648917	剧院
n08649711	床边
n08651104	副业,球出界了！
n08652376	滑雪度假村
n08658309	土层
n08658918	地质层位
n08659242	煤层
n08659331	采煤工作面
n08659446	领域
n08659861	油田
n08661878	温带
n08662427	垒道
n08663051	三英里极限
n08663703	桌面
n08663860	顶部
n08673039	甘榜,部落
n08674344	亚热带,亚热带
n08676253	巴里奥
n08677424	草原,大草原
n08677801	顶点,峰,顶,极致
n08678783	水线,水位线,水位
n08679167	高水位
n08679269	低水位
n08679562	大陆分水岭
n08685188	生肖
n08782627	爱琴岛
n08896327	苏丹
n09032191	瑞士
n09186592	深海区
n09189157	鹰巢,飘渺,鹰巢城,巢
n09191635	气泡
n09193551	冲积平原,冲积平原
n09193705	ALP
n09194227	高山冰川,高山型冰川
n09199101	蚁冢,蚁巢
n09201998	含水层
n09203827	群岛
n09205509	德性
n09206896	阿罗约
n09206985	上升,向上的斜坡,上升,提升,攀登,升级
n09208496	星芒
n09209025	软流圈
n09210862	环礁
n09213434	银行
n09213565	银行
n09214060	酒吧
n09214269	烧烤坑
n09214916	堡礁
n09215023	重子,重粒子
n09215437	盆地
n09217230	海滩
n09218315	蜂窝
n09218494	系绳
n09218641	本
n09219233	护堤
n09223487	膀胱结石,膀胱结石
n09224725	虚张声势
n09226869	取土坑
n09228055	斜坡
n09229709	气泡
n09230041	挖洞,隧道
n09230202	巴特
n09231117	火山口
n09233446	峡谷,佳能
n09233603	canyonside
n09238926	洞穴
n09239302	洞穴
n09242389	鸿沟
n09245515	太阳,科里,水煤浆
n09246464	悬崖,滴,脱落
n09247410	云
n09248153	海岸
n09248399	沿海地区
n09249034	Col,缺口
n09249155	收藏家
n09251407	彗星
n09255070	大陆冰川
n09256479	珊瑚礁
n09257843	小海湾
n09259025	峭壁
n09259219	陨石坑
n09260907	耕地,农田,耕地,耕地,耕种的土地,耕作,耕作
n09262690	山谷
n09263912	玷污,峡谷
n09264803	三角洲
n09265620	下降,倾斜,落下,下降,磁偏角,变格,下坡
n09266604	底辟
n09267854	草皮
n09268007	草皮
n09269341	向下
n09269472	下坡
n09269882	画
n09270160	德莱
n09270657	鼓丘
n09270735	沙丘,沙丘
n09274152	悬崖,崖
n09274305	蛇形丘
n09279986	火球
n09281252	耀星
n09282208	地板
n09283193	污染物,车辆
n09283405	山麓
n09283514	下盘
n09283767	前陆
n09283866	滨
n09287415	规范玻色子
n09287968	地质形成,形成
n09288635	间歇泉
n09289331	冰川
n09289596	格伦
n09290350	地鼠洞
n09290444	峡谷
n09294877	石窟,洞穴
n09295210	“咆哮者”
n09295946	峡谷,水槽
n09300306	沟壑
n09300905	冰雹
n09302616	高地,陆地
n09303008	小山
n09303528	山坡
n09304750	孔,空洞的
n09305031	空洞的,叫喊
n09305898	温泉,热泉
n09308572	冰山,伯格
n09308743	冰盖,冰盖
n09309046	冰原
n09309168	浮冰,浮冰
n09309292	冰块
n09310616	倾斜断层
n09315159	离子
n09319604	峡部
n09325824	肾结石,尿路结石,肾结石,肾结石
n09326662	诺尔,山丘,岗,小丘,吊床
n09327077	小丘,小山
n09327538	柯伊伯带,埃奇沃思柯伊伯带
n09330378	湖上,湖底
n09331251	湖畔
n09332890	湖畔,湖岸
n09335693	登陆
n09335809	垃圾填埋
n09336555	泡沫
n09337048	泄漏
n09337253	岩架,架子
n09338013	轻子
n09339810	岩石圈,地圈
n09344198	低地
n09344324	月球陨石坑
n09344724	玛珥
n09348460	地块
n09349648	河曲
n09351905	台面,桌子
n09352849	陨石
n09353815	微体化石
n09354511	中游
n09357346	小题大做
n09357447	单斜晶系
n09359803	山,攀登
n09361517	山腰,山的斜坡
n09362316	口
n09362945	马尔
n09366017	自然的抑郁,抑郁
n09366317	自然标高,高程
n09375606	明渠
n09376198	海洋
n09376526	海底,海底,海洋的底部,海底,海底,戴维·琼斯的储物柜,戴维琼斯
n09376786	海滨
n09381242	露头,露头,岩石露头
n09382099	牛轭
n09384106	橄榄陨铁
n09389867	穿孔
n09391386	光球层
n09391644	山前
n09391774	Piedmont冰川,Piedmont型冰川
n09392402	松林
n09393524	谱斑
n09393605	平原,领域,香槟
n09396465	指向
n09396608	极地冰川
n09398076	坑洞,路坑
n09398677	悬崖
n09399592	海角,岬,头,前陆
n09400584	涎石
n09400987	脉冲星
n09402944	流沙
n09403086	兔子的洞穴,兔子洞
n09403211	散热器
n09403427	彩虹
n09403734	范围,山脉,山脉,链,山链,连绵的山脉
n09405078	草地
n09405787	峡谷
n09406793	暗礁
n09409512	脊
n09409752	脊,脊线
n09410224	裂谷
n09411189	河岸林
n09411295	波痕
n09415584	河岸,河边
n09415671	河床,河的底部
n09416076	岩石,石
n09416890	屋顶
n09421031	盐场
n09421799	沙洲
n09421951	沙洲,沙坝
n09422190	沙坑
n09422631	卫生填埋场
n09425019	锯木坑
n09425344	疤地
n09428293	海滨,海岸,海岸,海岸
n09428628	海滨,海岸
n09429630	赛夫沙丘
n09432283	壳
n09432990	赛诺
n09433312	浅滩
n09433442	岸
n09433839	海岸线
n09435739	天坑,下沉,燕子洞
n09436444	滑雪场
n09436708	天空
n09437454	斜坡,倾斜,边
n09438844	山顶的积雪
n09438940	雪堆
n09439032	雪地
n09439213	肥皂水,肥皂水,泡沫
n09442595	吐,舌头
n09443281	痕迹
n09443641	泡沫
n09444783	明星
n09445008	陡峭的
n09445289	草原
n09447666	搁浅
n09448690	河床,溪床
n09450163	太阳,太阳
n09451237	超新星
n09452291	洼地
n09452395	沼泽,沼泽地
n09452760	膨胀
n09453008	高原,高原
n09454153	距骨,卵石
n09454412	纠纷
n09454744	焦油坑
n09456207	梯田,长凳
n09457979	潮汐湖
n09458269	潮间带
n09459979	Tor
n09460046	Tor
n09461069	梯形
n09462600	对流层
n09463226	苔原
n09464486	发光体
n09466678	上坡
n09467696	尿结石
n09468604	山谷,溪谷
n09470027	车载传输
n09470222	静脉,矿脉
n09472413	火山口,陨石坑
n09472597	火山
n09474010	河道
n09474412	墙
n09474765	沃伦,养兔场
n09475044	黄蜂的巢,黄蜂的巢,马蜂窝,黄蜂窝
n09475179	河道
n09475925	水边
n09476123	水位,水位,地下水位
n09478210	玄武岩,棘豆
n09480959	蚯蚓粪
n09481120	捕虏体
n09493983	喀耳刻
n09495962	狮鹫,格里芬,狮鹫
n09505153	精神领袖
n09537660	弥赛亚,基督
n09556121	瑞亚西尔维亚,西尔维亚公主
n09605110	一号
n09606009	冒险家,合营者
n09606527	异常,不寻常的人
n09607630	任命,约会
n09607782	淘金者
n09607903	德系
n09608709	恩人,帮手
n09610255	色盲的人
n09610405	布衣,普通人,普通的人
n09611722	储油柜
n09612700	反转
n09613118	农夫
n09613191	选手
n09613690	担保人,联名
n09615336	评论人
n09616573	酿酒师,酿酒师,fermentologist
n09616922	艺人
n09617161	赞美者,颂词
n09617435	前赌徒
n09617577	实验者
n09617696	实验者
n09618760	指数
n09618880	前总统
n09618957	面对
n09619168	女性的,女性的人
n09619452	终结者
n09620078	居民,居住者,居民,居民,内在动力
n09620794	本地的,本地人,土著,原住民,原住民
n09621232	本地的
n09622049	少年,少年人
n09622302	情人
n09624168	男性的,男性的人
n09624559	中介,去之间,居间人,中介的,代祷者
n09624899	Mediatrix
n09625401	国家的,主题
n09626238	同龄人,平等的,比赛,朋辈
n09627807	奖得主,彩票赢家
n09627906	收件人,接受者
n09629065	宗教家
n09629246	好色者
n09629752	旅行者,旅行者
n09631129	不受欢迎的人,不受欢迎的人
n09632274	不熟练的人
n09632518	工人
n09633969	做坏事的人,罪犯
n09635534	黑非洲
n09635635	南非白人,南非人,波尔
n09635973	雅利安人
n09636339	黑色,黑色的人,汤姆,黑人,黑人
n09637339	黑女人
n09638454	混血儿
n09638875	白,白色的人,白种人
n09639382	切尔克斯人
n09639919	犹
n09640327	迦勒底人,占星术,占星
n09640715	埃兰人
n09641002	白人
n09641578	黄蜂,白人盎格鲁-撒克逊新教徒
n09643799	约克,斜眼睛
n09644152	蒙古,蒙古族
n09644657	鞑靼,凶悍的人,蒙古人
n09648743	纳瓦特尔语
n09648911	阿兹台克
n09649067	奥尔梅克
n09650729	比洛克西
n09650839	黑脚
n09650989	布鲁尔
n09651123	卡多
n09651968	夏延
n09652149	奇克索
n09653144	cocopa,科科帕
n09653438	科曼奇
n09654079	小溪
n09654518	特拉华
n09654898	埃格诺人
n09655213	埃塞伦
n09655466	eyeish
n09656077	哈瓦苏佩
n09657206	亨克帕帕
n09657748	爱荷华,ioway
n09658254	kalapooia,kalapuya,卡拉普亚,calapuya
n09658398	kamia
n09658815	凯克奇人
n09658921	kichai
n09659039	基卡普人
n09659188	基利华,kiliwi
n09660010	马莱西特人
n09660240	科帕
n09661873	莫希干人,马尔代夫
n09662038	马斯科吉,Muskogean
n09662661	纳瓦霍人,纳瓦霍人
n09662951	努特卡
n09663248	奥格拉拉,格拉拉
n09663786	奥沙
n09663999	奥奈达
n09664556	派尤特,派尤特
n09664908	passamaquody
n09665367	佩诺布斯科特
n09665545	佩纽蒂语
n09666349	波塔瓦托米
n09666476	波瓦坦
n09666883	Kachina
n09667358	萨利希
n09668199	shahaptian,Sahaptin,sahaptino
n09668437	沙斯塔
n09668562	肖尼
n09668988	sihasapa
n09669631	提顿,拉科塔,提顿苏族人,提顿的北达科他州
n09670280	塔拉卡希塔语的
n09670521	塔拉乌马拉
n09670909	塔斯卡洛拉
n09671089	tutelo
n09672590	Yana
n09672725	亚瓦帕人
n09672840	部分
n09673091	尤马
n09674412	gadaba
n09674786	柯兰
n09675045	葵
n09675673	户田
n09675799	鲁番
n09675922	古吉拉特语,鸠遮拉特语
n09676021	克什米尔
n09676247	旁遮普,旁遮普
n09676884	斯拉夫人
n09677427	再洗礼派
n09678747	基督复临安息日,二安
n09679028	外邦人,非犹太人,异教徒
n09679170	外邦人
n09679925	天主教的
n09680908	旧天主教
n09681107	东仪天主教会,合一,东仪天主教会
n09681234	COPT
n09681973	玛丽
n09683180	圣战
n09683757	佛教徒
n09683924	禅宗佛教
n09684082	大乘佛教
n09684901	斯瓦米
n09685233	哈瑞奎师那
n09685806	神道的信徒
n09686262	欧洲和非洲
n09686401	欧亚
n09688233	盖尔
n09688804	弗兰克
n09689435	阿富汗,阿富汗人
n09689958	阿尔巴尼亚
n09690083	阿尔及利亚
n09690208	阿尔泰
n09690496	安道尔
n09690621	安哥拉
n09690864	安圭拉岛
n09691604	奥地利
n09691729	巴哈马
n09691858	巴林,巴林人
n09692125	巴索托
n09692915	赫雷罗人
n09693244	卢巴,奇卢巴
n09693982	巴巴多斯
n09694664	玻利维亚
n09694771	婆罗洲
n09695019	卡里奥卡
n09695132	图皮
n09695514	文莱
n09695620	保加利亚
n09695979	白俄罗斯,白俄罗斯,白色的俄罗斯
n09696456	喀麦隆
n09696585	加拿大人
n09696763	加拿大法语
n09697401	中美洲
n09697986	智利
n09698644	刚果
n09699020	塞浦路斯,塞浦路斯,塞浦路斯
n09699642	戴恩
n09700125	吉布提
n09700964	英国人,英国人,英国人
n09701148	英国人
n09701833	英国女人
n09702134	盎格鲁-撒克逊
n09702673	角
n09703101	西撒克逊语
n09703344	隆巴德,伦巴第人
n09703485	英国佬,约翰公牛
n09703708	剑桥
n09703809	康沃尔郡
n09703932	cornishwoman
n09704057	兰开斯特
n09704157	兰开斯特
n09704283	乔迪
n09705003	牛津
n09705124	埃塞俄比亚
n09705671	阿姆哈拉人
n09705784	厄立特里亚
n09706029	芬
n09706255	科米
n09707061	立沃尼亚语
n09707289	立陶宛
n09707735	塞尔库普,塞尔库普语
n09708750	巴黎
n09708889	巴黎
n09709531	奥尔
n09709673	奥尔
n09710041	加蓬
n09710164	希腊人,古希腊人
n09710886	多里安
n09711132	雅典
n09711435	拉哥尼亚
n09712324	圭亚那
n09712448	海地
n09712696	马来语,马来亚
n09712967	摩洛
n09713108	荷兰,荷兰人,霍兰德
n09714120	冰岛人
n09714694	伊拉克,伊拉克人
n09715165	爱尔兰人
n09715303	爱尔兰女人
n09715427	都柏林
n09716047	意大利人
n09716933	古罗马的
n09717233	萨宾
n09718217	日本人,日本
n09718811	约旦
n09718936	韩国人
n09719309	肯尼亚
n09719794	老,老挝
n09720033	拉普,lapplander,萨米,萨米,相同,女
n09720256	拉丁美洲,拉丁美洲人
n09720595	黎巴嫩
n09720702	黎凡特
n09720842	利比里亚
n09721244	伯格,卢森堡
n09721444	马其顿
n09722064	沙巴
n09722658	墨西哥人
n09722817	奇卡诺
n09723067	美国墨西哥,墨西哥人
n09723819	纳米比亚
n09723944	瑙鲁语
n09724234	廓尔喀
n09724533	新西兰人,几维鸟
n09724656	尼加拉瓜
n09724785	尼日利亚
n09725000	豪萨语,豪撒语
n09725229	北美洲
n09725546	诺瓦斯科舍省,蓝鼻子
n09725653	阿曼
n09725772	巴基斯坦
n09725935	布拉灰人
n09726621	南美洲的印第安人
n09726811	加勒比,加勒比印第安人
n09727440	菲律宾
n09727826	波利尼西亚
n09728137	卡塔尔,卡塔
n09728285	罗马尼亚,罗马尼亚
n09729062	白云母
n09729156	格鲁吉亚
n09730077	越人
n09730204	斯堪的那维亚,挪威,北方人
n09730824	塞内加尔
n09731343	斯洛文尼亚
n09731436	南非
n09731571	南美洲
n09732170	苏丹
n09733459	叙利亚
n09733793	大溪地
n09734185	坦桑尼亚
n09734450	西藏
n09734535	多哥
n09734639	图阿雷格
n09735258	突厥
n09735654	楚瓦什
n09736485	土库曼,土库曼,土库曼
n09736798	乌兹别克,乌兹别克语,uzbak,乌兹别克语,usbeg
n09736945	乌干达
n09737050	乌克兰
n09737161	雅库特
n09737453	通古斯,埃文克人
n09738121	伊博
n09738400	美国人
n09740724	英美
n09741074	阿拉斯加本地人,阿拉斯加土著,阿拉斯加本地
n09741331	阿肯色州人,阿肯色州人
n09741722	加罗林语
n09741816	科罗拉多人
n09741904	connecticuter
n09741999	特拉华州,delawarian
n09742101	佛罗里达
n09742315	德国美国
n09742927	伊利诺伊州人
n09743487	更重要的,到复活节
n09743601	马里兰州人
n09743792	明尼苏达州,地鼠
n09744161	内布拉斯加,剥玉米皮
n09744346	新的hampshirite,花岗岩州
n09744462	新的jerseyan,新英云煌岩,花园州
n09744679	纽约
n09744834	北卡罗莱纳州,北卡罗来纳州人
n09745229	俄勒冈州,海狸
n09745324	宾夕法尼亚,重点启动
n09745834	德克萨斯
n09745933	犹他州
n09746936	乌拉圭
n09747191	越南,安南
n09747495	冈比亚
n09748101	东德
n09748408	柏林
n09748648	普鲁士
n09748889	加尼安
n09749386	几内亚
n09750282	巴布亚
n09750641	瓦隆
n09750770	也门
n09750891	南斯拉夫,南斯拉夫人,南斯拉夫,南斯拉夫的
n09751076	塞尔维亚,塞尔维亚
n09751496	科萨
n09751622	=Zairean,扎伊尔
n09751895	津巴布韦
n09752023	祖鲁
n09752519	双子座,双
n09753348	射手座,弓箭手
n09753792	双鱼座,鱼
n09754152	阿贝
n09754217	女修道院院长,优秀的母亲,院长
n09754633	放弃者
n09754907	编译,节略者
n09755086	摘要,摘要
n09755241	逃亡者
n09755555	赦免
n09755788	初步的
n09755893	异常
n09756049	教唆犯,一个更好的
n09756195	厌恶者
n09756961	憎恶
n09757449	abseiler,rappeller
n09758173	戒酒者,苦行僧
n09758885	学术管理
n09759501	院士
n09760290	从犯
n09760609	同伴
